day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
74,0.388580677,0.793883077,0.237406464,0.024550892,0.1295172,0.324584862
75,0.387121846,0.795112615,0.235757952,0.024474462,0.1292076,0.323857108
76,0.385879015,0.795943385,0.233981568,0.024587446,0.128574,0.322929969
77,0.384061292,0.795611077,0.232436736,0.024334892,0.1282284,0.322119138
78,0.382868308,0.796774154,0.230715648,0.024331569,0.127674,0.321481108
79,0.381439385,0.796807385,0.229170816,0.023929477,0.1275012,0.320700185
80,0.380299569,0.797139692,0.227598336,0.023683569,0.1272528,0.319962462
81,0.3786048,0.798269538,0.226139904,0.023720123,0.1271052,0.319743138
82,0.377342031,0.799067077,0.224802432,0.023916185,0.1266156,0.319251323
83,0.376238769,0.798934154,0.223406208,0.023985969,0.12609,0.318922338
84,0.3752352,0.7992,0.221999616,0.024261785,0.1258488,0.318261046
85,0.373856123,0.799233231,0.220790016,0.024251815,0.1255428,0.318061662
86,0.375471138,0.799598769,0.21947328,0.024590769,0.1251432,0.317546585
87,0.376720615,0.799465846,0.2178144,0.024733662,0.1248912,0.317111262
88,0.377847138,0.799499077,0.216393984,0.024856615,0.1246968,0.316822154
89,0.379568492,0.801160615,0.214939008,0.024697108,0.1242324,0.316835446
90,0.381127015,0.800662154,0.213622272,0.025149046,0.124002,0.316768985
91,0.3826224,0.799997538,0.212523264,0.025119138,0.124002,0.316885292
92,0.381731815,0.800064,0.211635072,0.02507328,0.123382656,0.316978338
93,0.366056862,0.800030769,0.210560256,0.025152768,0.123054336,0.316945108
94,0.365684677,0.800396308,0.2096064,0.025425792,0.122923008,0.317004923
95,0.364933662,0.800097231,0.208583424,0.025543296,0.122577408,0.317254154
96,0.365418831,0.801559385,0.207657216,0.02553984,0.122611968,0.317430277
97,0.365993723,0.802257231,0.207028224,0.0256608,0.122580864,0.317709415
98,0.366678277,0.803752615,0.206292096,0.025750656,0.12275712,0.317898831
99,0.367296369,0.804251077,0.205531776,0.02604096,0.122753664,0.318310892
100,0.368725292,0.804118154,0.204795648,0.02602368,0.122840064,0.319105108
101,0.370091077,0.806411077,0.204297984,0.026255232,0.122840064,0.3194208
102,0.371124554,0.807208615,0.203879808,0.026532,0.122957568,0.319783015
103,0.373244677,0.807806769,0.203399424,0.026352,0.12312,0.319929231
104,0.375650585,0.808770462,0.203223168,0.0261756,0.123012864,0.320075446
105,0.378066462,0.809900308,0.2032128,0.0261504,0.123351552,0.320454277
106,0.3806784,0.811462154,0.202825728,0.025974,0.123617664,0.321069046
107,0.383652554,0.812292923,0.20240064,0.0258732,0.12384576,0.3223584
108,0.3893616,0.813522462,0.202117248,0.0255564,0.124409088,0.323790646
109,0.394698462,0.818573538,0.201771648,0.0254376,0.124958592,0.325924062
110,0.400487262,0.820999385,0.20138112,0.02511,0.125853696,0.328167138
111,0.406435569,0.824455385,0.20081088,0.025038,0.126347904,0.330230769
112,0.415696985,0.828177231,0.200385792,0.0248148,0.127084032,0.333091938
113,0.426995446,0.832995692,0.19996416,0.0248184,0.128552832,0.336208985
114,0.438765785,0.838113231,0.19965312,0.0247392,0.129952512,0.339927508
115,0.454277908,0.842366769,0.199262592,0.0246312,0.13143168,0.343692554
116,0.469750154,0.847783385,0.199145088,0.0242892,0.134016768,0.348756923
117,0.487874215,0.855193846,0.198402048,0.024174,0.136816128,0.355127262
118,0.508078523,0.866027077,0.197945856,0.0238428,0.142788096,0.363720738
