ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID
1341232	67.125	62.175	124.975111	122.868024	142.976186	18.001075	20.108162	NA
1341233	67.175	62.175	125.137837	122.862786	142.970371	17.832534	20.107585	NA
1341732	92.125	62.175	128.277889	123.560543	145.568035	17.290146	22.007492	NA
1341733	92.175	62.175	126.130405	123.489681	145.553723	19.423318	22.064042	NA
1347638	61.425	62.125	NA	NA	138.455359	NA	NA	NA
1347639	61.475	62.125	NA	NA	138.895065	NA	NA	NA
1347753	67.175	62.125	124.429096	123.214886	140.360898	15.931802	17.146012	NA
1347754	67.225	62.125	124.835061	123.345219	142.96567	18.130609	19.620451	NA
1347755	67.275	62.125	124.930699	123.142941	142.955472	18.024773	19.812531	NA
1348192	89.125	62.125	135.533893	123.429656	138.261846	2.727953	14.83219	NA
1348255	92.275	62.125	NA	NA	145.54293	NA	NA	NA
1348256	92.325	62.125	NA	NA	145.51484	NA	NA	NA
1348257	92.375	62.125	NA	NA	145.507662	NA	NA	NA
1354158	61.425	62.075	NA	NA	138.43754	NA	NA	NA
1354275	67.275	62.075	124.77123	123.129029	135.699763	10.928533	12.570733	NA
1354276	67.325	62.075	124.86154	122.988283	142.952869	18.091329	19.964586	NA
1354277	67.375	62.075	NA	NA	140.469709	NA	NA	NA
1354712	89.125	62.075	NA	NA	129.927724	NA	NA	NA
1354713	89.175	62.075	135.764306	123.821779	138.244908	2.480602	14.423129	NA
1354777	92.375	62.075	NA	NA	145.437642	NA	NA	NA
1354778	92.425	62.075	NA	NA	145.413404	NA	NA	NA
1360678	61.425	62.025	NA	NA	138.365578	NA	NA	NA
1360797	67.375	62.025	125.069626	122.903272	142.945383	17.875757	20.042112	NA
1361233	89.175	62.025	132.430845	123.13527	138.222803	5.791958	15.087532	NA
1361234	89.225	62.025	135.879378	123.478731	138.182934	2.303556	14.704202	NA
1361298	92.425	62.025	NA	NA	145.406885	NA	NA	NA
1361299	92.475	62.025	NA	NA	145.392274	NA	NA	NA
1367198	61.425	61.975	NA	NA	138.370945	NA	NA	NA
1367317	67.375	61.975	124.95008	123.051498	142.936425	17.986345	19.884927	NA
1367754	89.225	61.975	134.779188	123.475568	138.180905	3.401718	14.705338	NA
1367819	92.475	61.975	NA	NA	145.381649	NA	NA	NA
1367864	94.725	61.975	NA	NA	144.624301	NA	NA	NA
1367866	94.825	61.975	NA	NA	144.470729	NA	NA	NA
1367867	94.875	61.975	NA	NA	144.435581	NA	NA	NA
1367868	94.925	61.975	NA	NA	144.427622	NA	NA	NA
1373717	61.375	61.925	NA	NA	138.315908	NA	NA	NA
1373718	61.425	61.925	NA	NA	138.291978	NA	NA	NA
1373837	67.375	61.925	124.741076	123.227348	136.385177	11.644101	13.157829	NA
1373838	67.425	61.925	124.713247	123.230849	142.911258	18.198011	19.680409	NA
1374274	89.225	61.925	134.784612	123.230658	131.422966	-3.361647	8.192308	NA
1374275	89.275	61.925	133.653766	122.997252	138.172965	4.519198	15.175713	NA
1374339	92.475	61.925	NA	NA	145.367432	NA	NA	NA
1374340	92.525	61.925	124.007919	123.526746	145.351355	21.343436	21.824609	NA
1374341	92.575	61.925	124.041697	123.541293	145.346981	21.305285	21.805688	NA
1374342	92.625	61.925	124.383018	123.828525	145.340878	20.95786	21.512353	NA
1374343	92.675	61.925	125.518206	123.680739	145.329533	19.811328	21.648794	NA
1374389	94.975	61.925	NA	NA	144.412975	NA	NA	NA
1374390	95.025	61.925	NA	NA	144.401839	NA	NA	NA
1374391	95.075	61.925	NA	NA	144.396827	NA	NA	NA
1374392	95.125	61.925	NA	NA	144.390956	NA	NA	NA
1374393	95.175	61.925	NA	NA	144.383801	NA	NA	NA
1380237	61.375	61.875	NA	NA	138.280254	NA	NA	NA
1380238	61.425	61.875	NA	NA	138.270633	NA	NA	NA
1380358	67.425	61.875	125.286472	122.99844	142.90318	17.616708	19.90474	NA
1380359	67.475	61.875	125.128356	122.835446	142.893957	17.765601	20.058511	NA
1380795	89.275	61.875	129.835635	123.031051	138.15817	8.322535	15.12712	NA
1380796	89.325	61.875	133.950465	123.169062	138.145594	4.195128	14.976532	NA
1380797	89.375	61.875	132.021051	122.823744	138.15127	6.130219	15.327526	NA
1380798	89.425	61.875	130.172994	122.689219	131.888143	1.71515	9.198924	NA
1380863	92.675	61.875	126.276637	123.764099	143.907569	17.630932	20.14347	NA
1380864	92.725	61.875	126.452173	123.568565	145.32499	18.872817	21.756426	NA
1380865	92.775	61.875	126.046704	123.530491	145.307577	19.260873	21.777086	NA
1380901	94.575	61.875	NA	NA	144.587538	NA	NA	NA
1380914	95.225	61.875	NA	NA	144.276761	NA	NA	NA
1380915	95.275	61.875	NA	NA	144.262795	NA	NA	NA
1380916	95.325	61.875	NA	NA	144.250334	NA	NA	NA
1380917	95.375	61.875	NA	NA	148.72092	NA	NA	NA
1380921	95.575	61.875	NA	NA	144.183554	NA	NA	NA
1380922	95.625	61.875	NA	NA	144.173745	NA	NA	NA
1380923	95.675	61.875	NA	NA	144.116051	NA	NA	NA
1380924	95.725	61.875	NA	NA	144.104316	NA	NA	NA
1380925	95.775	61.875	NA	NA	144.095848	NA	NA	NA
1386758	61.425	61.825	NA	NA	138.257359	NA	NA	NA
1386759	61.475	61.825	NA	NA	138.206942	NA	NA	NA
1386879	67.475	61.825	124.939323	122.963758	137.745345	12.806022	14.781586	NA
1386880	67.525	61.825	124.983339	123.065618	142.890649	17.90731	19.825031	NA
1387318	89.425	61.825	130.368894	122.749774	138.1483	7.779407	15.398527	NA
1387319	89.475	61.825	130.009924	123.185248	138.140926	8.131002	14.955678	NA
1387385	92.775	61.825	126.945476	123.435789	145.842879	18.897402	22.40709	NA
1387386	92.825	61.825	NA	NA	145.363481	NA	NA	NA
1387387	92.875	61.825	NA	NA	145.327075	NA	NA	NA
1387388	92.925	61.825	NA	NA	145.31691	NA	NA	NA
1387389	92.975	61.825	NA	NA	145.310541	NA	NA	NA
1387418	94.425	61.825	NA	NA	144.665068	NA	NA	NA
1387419	94.475	61.825	NA	NA	144.659202	NA	NA	NA
1387420	94.525	61.825	NA	NA	144.652373	NA	NA	NA
1387437	95.375	61.825	NA	NA	144.247063	NA	NA	NA
1387438	95.425	61.825	NA	NA	144.222216	NA	NA	NA
