ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID_1
593924	-134.275	67.875	124.015106	139.288855	142.331428	18.316322	3.042572	NA
593925	-134.225	67.875	NA	NA	141.193267	NA	NA	NA
600445	-134.225	67.825	124.19265	138.918541	142.330255	18.137605	3.411714	NA
606965	-134.225	67.775	124.106168	137.478612	142.324856	18.218688	4.846244	NA
611377	86.375	67.775	136.768041	123.83607	147.844687	11.076646	24.008617	NA
613485	-134.225	67.725	124.046712	138.521124	142.316929	18.270218	3.795805	NA
613486	-134.175	67.725	124.069012	138.865088	142.313343	18.244332	3.448255	NA
617895	86.275	67.725	NA	NA	159.231697	NA	NA	NA
617896	86.325	67.725	136.991354	123.964005	147.841968	10.850615	23.877963	NA
620006	-134.175	67.675	124.565845	141.179064	142.312545	17.746701	1.133481	NA
620007	-134.125	67.675	126.834033	146.93714	140.296907	13.462874	-6.640233	NA
624415	86.275	67.675	137.04518	124.288385	147.825981	10.780801	23.537595	NA
630935	86.275	67.625	137.032365	123.835095	147.786683	10.754318	23.951588	NA
734911	69.075	66.825	127.132756	126.167472	157.011788	29.879032	30.844316	NA
734915	69.275	66.825	126.466542	123.011131	160.768285	34.301742	37.757154	NA
741424	68.725	66.775	NA	NA	146.739419	NA	NA	NA
741425	68.775	66.775	127.177694	125.279815	146.74102	19.563325	21.461205	NA
741426	68.825	66.775	127.055566	124.377061	146.742471	19.686905	22.36541	NA
741427	68.875	66.775	126.438605	123.128038	146.745865	20.30726	23.617827	NA
741428	68.925	66.775	127.612426	124.079641	146.748136	19.13571	22.668495	NA
741429	68.975	66.775	127.387505	124.506179	146.750811	19.363306	22.244632	NA
741430	69.025	66.775	127.354276	125.199046	146.753367	19.399091	21.554321	NA
741431	69.075	66.775	127.132756	126.167472	146.75548	19.622723	20.588007	NA
747942	68.625	66.725	126.971821	127.51107	153.869394	26.897572	26.358324	NA
747943	68.675	66.725	126.66784	127.620162	146.728046	20.060205	19.107884	NA
747944	68.725	66.725	126.823571	126.831497	146.73278	19.909209	19.901283	NA
754436	67.325	66.675	126.963777	123.556788	162.192947	35.22917	38.63616	NA
754437	67.375	66.675	127.238278	125.305793	146.466099	19.227821	21.160306	NA
754438	67.425	66.675	126.958386	124.157786	146.509259	19.550873	22.351473	NA
754460	68.525	66.675	126.397262	123.477459	154.46535	28.068088	30.987891	NA
754461	68.575	66.675	127.53083	124.207135	146.583132	19.052301	22.375996	NA
754462	68.625	66.675	NA	NA	146.58845	NA	NA	NA
756688	-146.075	66.625	NA	NA	133.903646	NA	NA	NA
756689	-146.025	66.625	NA	NA	159.381621	NA	NA	NA
756690	-145.975	66.625	NA	NA	159.345358	NA	NA	NA
756691	-145.925	66.625	NA	NA	159.328967	NA	NA	NA
756692	-145.875	66.625	NA	NA	126.26068	NA	NA	NA
756693	-145.825	66.625	NA	NA	147.268784	NA	NA	NA
756694	-145.775	66.625	NA	NA	128.052064	NA	NA	NA
756695	-145.725	66.625	NA	NA	132.08209	NA	NA	NA
756696	-145.675	66.625	NA	NA	132.465921	NA	NA	NA
756697	-145.625	66.625	NA	NA	133.235554	NA	NA	NA
756698	-145.575	66.625	NA	NA	134.000565	NA	NA	NA
756699	-145.525	66.625	NA	NA	134.181478	NA	NA	NA
756700	-145.475	66.625	NA	NA	130.672331	NA	NA	NA
756701	-145.425	66.625	NA	NA	130.305417	NA	NA	NA
756702	-145.375	66.625	NA	NA	130.205929	NA	NA	NA
