ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID_1
253586	126.825	70.525	133.62012	153.423669	157.182057	23.561937	3.758388	NA
253587	126.875	70.525	133.543101	153.264616	157.187617	23.644516	3.923001	NA
253588	126.925	70.525	133.451954	153.187563	157.192194	23.740239	4.004631	NA
253589	126.975	70.525	133.433683	153.144028	157.196439	23.762756	4.05241	NA
253590	127.025	70.525	133.43951	152.595414	157.20042	23.76091	4.605006	NA
253591	127.075	70.525	132.552518	151.205454	157.212122	24.659604	6.006669	NA
260086	125.825	70.475	133.552143	152.356347	157.060102	23.507959	4.703755	NA
260087	125.875	70.475	132.520674	150.443892	157.063333	24.542659	6.61944	NA
260088	125.925	70.475	127.140407	144.890522	157.073985	29.933578	12.183463	NA
266605	125.775	70.425	127.803245	146.50318	157.049553	29.246309	10.546374	NA
266606	125.825	70.425	130.715848	148.070945	157.057907	26.342059	8.986962	NA
273125	125.775	70.375	133.475767	152.442915	157.047012	23.571245	4.604097	NA
273126	125.825	70.375	134.242241	153.634639	157.037315	22.795073	3.402676	NA
279646	125.825	70.325	134.256461	153.618813	157.030927	22.774467	3.412114	NA
279647	125.875	70.325	126.512245	144.73224	157.018956	30.506711	12.286716	NA
279648	125.925	70.325	129.931696	148.295029	156.993867	27.06217	8.698838	NA
279649	125.975	70.325	133.302886	151.484624	152.378344	19.075459	0.89372	NA
286169	125.975	70.275	133.302886	151.484624	156.987522	23.684636	5.502898	NA
286170	126.025	70.275	130.531963	148.492951	156.974531	26.442568	8.48158	NA
286171	126.075	70.275	130.986351	148.365878	151.687943	20.701592	3.322065	NA
292690	126.025	70.225	132.070844	150.129854	150.265664	18.19482	0.13581	NA
292691	126.075	70.225	131.180493	149.543247	156.971392	25.790899	7.428145	NA
299209	125.975	70.175	131.735269	150.196163	149.901586	18.166317	-0.294577	NA
299210	126.025	70.175	131.879372	150.310394	156.948283	25.068912	6.637889	NA
305728	125.925	70.125	134.033676	153.388367	156.87788	22.844204	3.489514	NA
305729	125.975	70.125	132.33009	151.13436	156.916624	24.586534	5.782264	NA
312246	125.825	70.075	132.270982	151.599648	156.840284	24.569302	5.240636	NA
312247	125.875	70.075	133.650515	153.560391	156.870268	23.219753	3.309877	NA
312248	125.925	70.075	NA	NA	149.190777	NA	NA	NA
318763	125.675	70.025	127.057781	145.516182	156.825054	29.767274	11.308873	NA
318764	125.725	70.025	128.19193	146.648022	149.855647	21.663717	3.207625	NA
318765	125.775	70.025	132.007599	150.289787	150.364175	18.356576	0.074388	NA
318766	125.825	70.025	132.000441	150.982084	150.110247	18.109807	-0.871836	NA
325281	125.575	69.975	126.049633	142.402316	149.520895	23.471262	7.118579	NA
325282	125.625	69.975	126.126023	142.668801	149.498438	23.372415	6.829637	NA
325283	125.675	69.975	124.01122	140.38733	149.483088	25.471868	9.095758	NA
331792	125.125	69.925	133.539703	152.706386	151.408061	17.868358	-1.298326	NA
