system:index,lon,lat,xoc,startDate
0,123.4304536,66.77369086,5.200 ,2003-08-12
0,123.4304536,66.77369086,6.700 ,2004-04-09
0,123.4304536,66.77369086,14.800 ,2004-06-05
0,123.4304536,66.77369086,12.400 ,2004-06-07
0,123.4304536,66.77369086,6.700 ,2004-08-19
0,123.4304536,66.77369086,6.500 ,2004-08-24
0,123.4304536,66.77369086,6.600 ,2004-10-07
0,123.4304536,66.77369086,7.400 ,2004-10-10
0,123.4304536,66.77369086,8.400 ,2005-03-24
0,123.4304536,66.77369086,14.800 ,2005-05-27
0,123.4304536,66.77369086,14.500 ,2005-06-04
0,123.4304536,66.77369086,8.800 ,2005-08-06
0,123.4304536,66.77369086,8.200 ,2005-08-14
0,123.4304536,66.77369086,7.300 ,2005-10-09
0,123.4304536,66.77369086,7.000 ,2005-10-10
0,123.4304536,66.77369086,13.700 ,2006-06-06
0,123.4304536,66.77369086,8.800 ,2006-11-14
0,123.4304536,66.77369086,17.500 ,2009-05-31
0,123.4304536,66.77369086,16.700 ,2009-06-05
0,123.4304536,66.77369086,12.900 ,2009-06-11
0,123.4304536,66.77369086,6.800 ,2009-08-22
0,123.4304536,66.77369086,7.700 ,2009-11-18
0,123.4304536,66.77369086,15.800 ,2010-05-29
0,123.4304536,66.77369086,18.200 ,2010-06-04
0,123.4304536,66.77369086,13.300 ,2010-06-11
0,123.4304536,66.77369086,8.000 ,2010-09-01
0,123.4304536,66.77369086,11.600 ,2010-11-23
0,123.4304536,66.77369086,17.500 ,2011-06-02
0,123.4304536,66.77369086,17.600 ,2011-06-08
0,123.4304536,66.77369086,8.200 ,2011-09-17
0,123.4304536,66.77369086,7.100 ,2011-11-16
0,123.4304536,66.77369086,18.500 ,2012-06-06
0,123.4304536,66.77369086,6.300 ,2012-10-08
0,123.4304536,66.77369086,6.200 ,2012-12-08
0,123.4304536,66.77369086,8.800 ,2013-01-05
0,123.4304536,66.77369086,4.800 ,2013-03-31
0,123.4304536,66.77369086,13.800 ,2013-05-31
0,123.4304536,66.77369086,11.200 ,2013-07-30
0,123.4304536,66.77369086,6.900 ,2013-09-20
0,123.4304536,66.77369086,9.100 ,2014-02-15
0,123.4304536,66.77369086,6.600 ,2014-04-11
0,123.4304536,66.77369086,6.000 ,2014-08-27
0,123.4304536,66.77369086,5.900 ,2014-10-30
0,123.4304536,66.77369086,4.300 ,2014-12-02
0,123.4304536,66.77369086,8.700 ,2015-01-06
0,123.4304536,66.77369086,5.200 ,2015-03-25
0,123.4304536,66.77369086,4.800 ,2015-05-02
0,123.4304536,66.77369086,8.200 ,2015-07-09
0,123.4304536,66.77369086,7.000 ,2015-09-23
0,123.4304536,66.77369086,3.200 ,2015-11-27
0,123.4304536,66.77369086,5.900 ,2016-02-29
0,123.4304536,66.77369086,5.400 ,2016-04-01
0,123.4304536,66.77369086,7.600 ,2016-06-29
0,123.4304536,66.77369086,7.100 ,2016-08-02
0,123.4304536,66.77369086,6.600 ,2016-10-27
0,123.4304536,66.77369086,4.600 ,2016-12-06
0,123.4304536,66.77369086,5.800 ,2017-02-27
0,123.4304536,66.77369086,5.800 ,2017-04-01
0,123.4304536,66.77369086,6.600 ,2017-06-29
0,123.4304536,66.77369086,8.000 ,2017-10-28
0,123.4304536,66.77369086,10.100 ,2017-12-05
0,123.4304536,66.77369086,9.900 ,2018-01-03
0,123.4304536,66.77369086,7.300 ,2018-03-08
0,123.4304536,66.77369086,6.600 ,2018-05-01
0,123.4304536,66.77369086,6.400 ,2018-07-18
0,123.4304536,66.77369086,8.700 ,2018-09-29
0,123.4304536,66.77369086,7.800 ,2018-11-28
0,123.4304536,66.77369086,7.900 ,2019-02-17
0,123.4304536,66.77369086,6.800 ,2019-04-02
0,123.4304536,66.77369086,19.100 ,2019-06-09
0,123.4304536,66.77369086,11.000 ,2019-08-02
0,123.4304536,66.77369086,4.999 ,2020-02-10
0,123.4304536,66.77369086,5.137 ,2020-04-02
0,123.4304536,66.77369086,14.240 ,2020-06-30
0,123.4304536,66.77369086,8.924 ,2020-08-30
0,123.4304536,66.77369086,6.780 ,2020-10-30
0,123.4304536,66.77369086,10.310 ,2020-12-02
0,123.4304536,66.77369086,8.369 ,2021-01-31
0,123.4304536,66.77369086,7.340 ,2021-03-16
0,123.4304536,66.77369086,6.851 ,2021-05-01
0,123.4304536,66.77369086,7.805 ,2021-07-19
0,123.4304536,66.77369086,7.438 ,2021-09-30
0,123.4304536,66.77369086,7.040 ,2021-11-25
