date,data
2025-01-01,4.58028429746628
2025-01-02,4.63278430700302
2025-01-03,4.68035139264287
2025-01-04,4.68035139264287
2025-01-05,4.65381985741693
2025-01-06,4.50224326107953
2025-01-07,4.33300811594183
2025-01-08,4.71814388350437
2025-01-09,5.37443306939355
2025-01-10,5.63740874850561
2025-01-11,5.55476693809032
2025-01-12,5.99263673313593
2025-01-13,6.04824798938
2025-01-14,6.12434088367305
2025-01-15,6.31048069071414
2025-01-16,6.3592593966755
2025-01-17,6.40493664022028
2025-01-18,6.46281616457828
2025-01-19,6.59677827578732
2025-01-20,6.60017309291336
2025-01-21,6.55196380494455
2025-01-22,6.45418356702878
2025-01-23,6.28394700448648
2025-01-24,6.27708931378767
2025-01-25,6.10884200398089
2025-01-26,6.063924284148
2025-01-27,6.06882033430932
2025-01-28,6.19253244719447
2025-01-29,6.3169381756781
2025-01-30,6.29773669794684
2025-01-31,5.90321622526246
2025-02-01,5.79074348032412
2025-02-02,5.58198418220161
2025-02-03,5.51518127720491
2025-02-04,5.55220336016341
2025-02-05,5.43987359915019
2025-02-06,5.44047301480121
2025-02-07,5.41864024330175
2025-02-08,5.41444687225784
2025-02-09,5.42533091768142
2025-02-10,5.36223592292758
2025-02-11,5.37394424160498
2025-02-12,5.41413869506453
2025-02-13,5.32198970744909
2025-02-14,5.25877090583308
2025-02-15,5.28663838807506
2025-02-16,5.26090606497054
2025-02-17,5.23877050560294
2025-02-18,5.10403961541449
2025-02-19,4.99598197767247
2025-02-20,4.8948764772379
2025-02-21,4.8274954739149
2025-02-22,4.79653463928442
2025-02-23,4.77510361889558
2025-02-24,4.75385612996594
2025-02-25,4.72415726831699
2025-02-26,4.71559953077545
2025-02-27,4.69505616664647
2025-02-28,4.63752364813836
2025-03-01,4.64774662558247
2025-03-02,4.63981749136661
2025-03-03,4.63906117298335
2025-03-04,4.6474287248254
2025-03-05,4.63538913913592
2025-03-06,4.67972539060516
2025-03-07,4.72570653627825
2025-03-08,4.76561528703177
2025-03-09,4.76977958923426
2025-03-10,4.69391704599298
2025-03-11,4.71064112263522
2025-03-12,4.70966421561182
2025-03-13,4.69719592055247
2025-03-14,4.71884564784136
2025-03-15,4.71254325404053
2025-03-16,4.71698762535882
2025-03-17,4.72564690270313
2025-03-18,4.71934037131407
2025-03-19,4.73548602658855
2025-03-20,4.73397421532841
2025-03-21,4.73774235123049
2025-03-22,4.7581367340112
2025-03-23,4.75564358284711
2025-03-24,4.73431335844412
2025-03-25,4.73572887683267
2025-03-26,4.78093003326814
2025-03-27,4.76067138378748
2025-03-28,4.75290360086134
2025-03-29,4.74320198396219
2025-03-30,4.70965928899667
2025-03-31,4.69863673771982
2025-04-01,4.69929843542365
2025-04-02,4.69698004868774
2025-04-03,4.69569120258576
2025-04-04,4.7023935325414
2025-04-05,4.69228823118733
2025-04-06,4.68473005241399
2025-04-07,4.61044952402179
2025-04-08,4.60935774022244
2025-04-09,4.61940640489211
2025-04-10,4.63816784433607
2025-04-11,4.67602626591471
2025-04-12,4.71005004708789
2025-04-13,4.75170233644972
2025-04-14,4.7606741596238
2025-04-15,4.76675207657036
2025-04-16,4.7860281146554
2025-04-17,4.7994265944971
2025-04-18,4.80058894308127
2025-04-19,4.82196694676777
2025-04-20,4.8326334629953
2025-04-21,4.83331231916194
2025-04-22,4.84111304023121
2025-04-23,4.85473313273144
2025-04-24,4.85782742477067
2025-04-25,4.8696351849591
2025-04-26,4.87614596576724
2025-04-27,4.88376720581344
2025-04-28,4.90563487182723
2025-04-29,4.93895922402369
2025-04-30,4.99529684343683
2025-05-01,5.02697789510253
2025-05-02,5.0892932042072
2025-05-03,5.16646756348801
2025-05-04,5.20785277187422
2025-05-05,5.24105619057157
2025-05-06,5.28229626008645
2025-05-07,5.31338732786583
2025-05-08,5.32457520669918
2025-05-09,5.33473246350982
2025-05-10,5.42560401148122
2025-05-11,5.46689741616684
2025-05-12,5.53533250665177
2025-05-13,5.67414258796903
2025-05-14,5.82048634192832
2025-05-15,5.90136376672559
2025-05-16,6.07033766316457
2025-05-17,6.28718789859481
2025-05-18,6.37950447381651
2025-05-19,6.51483392735965
2025-05-20,6.68787339435732
2025-05-21,6.79223190127382
2025-05-22,6.84757157413242
2025-05-23,6.92981957123866
2025-05-24,7.0125109205595
2025-05-25,7.13846421157783
2025-05-26,7.27062114268161
2025-05-27,7.39045586946479
2025-05-28,7.4397782926622
2025-05-29,7.49454571676854
2025-05-30,7.51603406769354
2025-05-31,7.54882900852466
2025-06-01,7.59019060338984
2025-06-02,7.62097783585284
2025-06-03,7.63473227318523
2025-06-04,7.65283796692634
2025-06-05,7.55999499136737
2025-06-06,7.53578581997763
2025-06-07,7.57891564453461
2025-06-08,7.60553093262298
2025-06-09,7.59260875216472
2025-06-10,7.58574994921593
2025-06-11,7.5835586505625
2025-06-12,7.58849327051192
2025-06-13,7.60840217036882
2025-06-14,7.59395510221384
2025-06-15,7.60806071735438
2025-06-16,7.61567420273218
2025-06-17,7.60296181052743
2025-06-18,7.58158863235853
2025-06-19,7.53387634242661
2025-06-20,7.49566690353096
2025-06-21,7.4697370806902
2025-06-22,7.4699582526079
2025-06-23,7.45829905885427
2025-06-24,7.47218828497069
2025-06-25,7.46032077591693
2025-06-26,7.43751556735455
2025-06-27,7.38663037062312
2025-06-28,7.3431454275499
2025-06-29,7.29401580072407
2025-06-30,7.29857890352239
2025-07-01,7.32130876186647
2025-07-02,7.33797868220013
2025-07-03,7.34471067861806
2025-07-04,7.33009353927641
2025-07-05,7.28555606536779
2025-07-06,7.26063376899873
2025-07-07,7.24423464438209
2025-07-08,7.24432621045569
2025-07-09,7.24037313027549
2025-07-10,7.18735481384897
2025-07-11,7.16854466042579
2025-07-12,7.15265718203767
2025-07-13,7.14678328495325
2025-07-14,7.16738345202087
2025-07-15,7.19009329120643
2025-07-16,7.19337828757071
2025-07-17,7.15482757285738
2025-07-18,7.1402631764458
2025-07-19,7.18486502342389
2025-07-20,7.18876043711509
2025-07-21,7.20316148663617
2025-07-22,7.21738671209241
2025-07-23,7.20397027485933
2025-07-24,7.18881353835585
2025-07-25,7.18084570956814
2025-07-26,7.19074195539615
2025-07-27,7.17836670592266
2025-07-28,7.17271976039869
2025-07-29,7.17022747000343
2025-07-30,7.16207426659842
2025-07-31,7.14312080208853
2025-08-01,7.13735884907065
2025-08-02,7.15093214751106
2025-08-03,7.14580273933614
2025-08-04,7.12094272471462
2025-08-05,7.11540120979515
2025-08-06,7.09705374510434
2025-08-07,7.07936901013884
2025-08-08,7.06101487040156
2025-08-09,7.06271910722046
2025-08-10,7.04564131807953
2025-08-11,7.09814942916045
2025-08-12,7.03805920459529
2025-08-13,7.0268096119775
2025-08-14,7.02323599634797
2025-08-15,7.05278129934414
2025-08-16,7.04839195656821
2025-08-17,7.06931932659837
2025-08-18,7.0955217685224
2025-08-19,7.11233963721337
2025-08-20,7.12502182411402
2025-08-21,7.13199674999095
2025-08-22,7.13819310874901
2025-08-23,7.15993173642906
2025-08-24,7.16391673778972
2025-08-25,7.18158631694318
2025-08-26,7.17235110063593
2025-08-27,7.15670433013132
2025-08-28,7.16408137053962
2025-08-29,7.1490427292042
2025-08-30,7.13884285251879
2025-08-31,7.10218539790051
2025-09-01,7.08413388013542
2025-09-02,7.08705152779403
2025-09-03,7.13473689671776
2025-09-04,7.13256180572077
2025-09-05,7.10025707303829
2025-09-06,7.11298377668908
2025-09-07,7.11139372134709
2025-09-08,7.09627515588179
2025-09-09,7.10245562221475
2025-09-10,7.09760560389827
2025-09-11,7.09140787710422
2025-09-12,7.11173445858683
2025-09-13,7.07074022164148
2025-09-14,6.99814178942784
2025-09-15,6.99886904967332
2025-09-16,7.00798241312571
2025-09-17,7.01121007619937
2025-09-18,7.00467279666007
2025-09-19,6.9888085421817
2025-09-20,6.98824223738651
2025-09-21,6.99414314244777
2025-09-22,6.99522739017174
2025-09-23,6.95334032597966
2025-09-24,6.95618988753824
2025-09-25,6.95453339512955
2025-09-26,6.90930035706807
2025-09-27,7.00120202982277
2025-09-28,7.05604740024477
2025-09-29,7.14045430834895
2025-09-30,7.18949269922797
2025-10-01,7.20412139283762
2025-10-02,7.2166965074622
2025-10-03,7.32668026762275
2025-10-04,7.36948940301739
2025-10-05,7.37299585763211
2025-10-06,7.40232224275362
2025-10-07,7.38745533356034
2025-10-08,7.38075222881011
2025-10-09,7.32240605071107
2025-10-10,7.31301002366462
2025-10-11,7.30639625897764
2025-10-12,7.20053665854946
2025-10-13,7.16114905814837
2025-10-14,7.04908650560604
2025-10-15,6.91006426165782
2025-10-16,6.885181909614
2025-10-17,6.81192480073839
2025-10-18,6.72339247206498
2025-10-19,6.74456195600027
2025-10-20,6.81532406688378
2025-10-21,6.84664162439998
2025-10-22,6.84378343117696
2025-10-23,6.88584529860332
2025-10-24,6.87378988212882
2025-10-25,6.85571654745234
2025-10-26,6.81358526206487
2025-10-27,6.56174203915961
2025-10-28,6.37074076073445
2025-10-29,6.3000829633229
2025-10-30,6.09439499627298
2025-10-31,5.98914404137441
2025-11-01,5.96384280457045
2025-11-02,5.93492602140782
2025-11-03,5.89219532352646
2025-11-04,5.89346867843445
2025-11-05,6.01657985162319
2025-11-06,6.06288143624952
2025-11-07,6.07418159127814
2025-11-08,6.2257999351261
2025-11-09,6.3668195289724
2025-11-10,6.3724158762296
2025-11-11,6.38835037649555
2025-11-12,6.43367344415878
2025-11-13,6.48879116587149
2025-11-14,6.50292218235561
2025-11-15,6.50066427365943
2025-11-16,6.55212178791127
2025-11-17,6.66677517416728
2025-11-18,6.69766849741968
2025-11-19,6.71637820390652
2025-11-20,6.72806416446333
2025-11-21,6.70263235892923
2025-11-22,6.69117184777296
2025-11-23,6.56467973004127
2025-11-24,6.33645047560459
2025-11-25,6.11126327110549
2025-11-26,5.93922656823781
2025-11-27,5.61158000160666
2025-11-28,5.4973631576753
2025-11-29,5.58826339440268
2025-11-30,5.22796807189782
2025-12-01,5.22796807189782
2025-12-02,4.99556098914728
2025-12-03,4.54026868229821
2025-12-04,3.76280003786087
2025-12-05,3.76280003786087
2025-12-06,4.06551020041756
2025-12-07,3.95053605079651
2025-12-08,4.43763738665087
2025-12-09,4.37732725143433
2025-12-10,4.18577554821968
2025-12-11,4.05884722868602
2025-12-12,4.16102679286684
2025-12-13,4.42778535842896
2025-12-14,4.42585202217102
2025-12-15,4.23790358645575
2025-12-16,4.29615927625586
2025-12-17,4.2271469257496
2025-12-18,4.44995579352746
2025-12-19,4.00111586169193
2025-12-20,5.87547794977824
2025-12-21,4.05294290610722
2025-12-22,4.28496114412944
2025-12-23,3.91255955469041
2025-12-24,4.13108098506928
2025-12-25,4.13108098506928
2025-12-26,4.12822384493692
2025-12-27,3.87134664058685
2025-12-28,3.7634257403287
2025-12-29,NA
2025-12-30,3.67238589433523
2025-12-31,3.472042709589
