ID	lon	lat	centroid_day
5824	126.725	72.425	131.046491243662
5825	126.775	72.425	132.319185465901
5826	126.825	72.425	130.730893398093
5827	126.875	72.425	130.139450854833
5828	126.925	72.425	128.29541831253
5829	126.975	72.425	128.862130571358
5830	127.025	72.425	130.145439606526
5831	127.075	72.425	129.894682256014
5832	127.125	72.425	130.197550701897
5833	127.175	72.425	129.948266583963
5834	127.225	72.425	130.355605301372
5840	127.525	72.425	128.954176592435
5841	127.575	72.425	129.543621807152
5842	127.625	72.425	124.221961998374
5843	127.675	72.425	124.931763620229
12344	126.725	72.375	128.229604679734
12345	126.775	72.375	127.13370504421
12364	127.725	72.375	127.322856236144
12365	127.775	72.375	128.817666336798
12366	127.825	72.375	130.896674423334
18865	126.775	72.325	125.870568712871
18866	126.825	72.325	126.465176162032
18886	127.825	72.325	131.03010508953
18887	127.875	72.325	131.010414028295
18888	127.925	72.325	131.593692967561
25387	126.875	72.275	129.778808521861
25409	127.975	72.275	131.157976398693
25410	128.025	72.275	131.164416006779
25411	128.075	72.275	131.101160754613
31908	126.925	72.225	125.728146955045
31932	128.125	72.225	130.797367807881
31933	128.175	72.225	130.485239769024
31934	128.225	72.225	130.696883844552
31935	128.275	72.225	130.430947190441
38428	126.925	72.175	127.893479630335
38455	128.275	72.175	130.430947190441
38456	128.325	72.175	130.308792221841
38457	128.375	72.175	130.563657889215
44948	126.925	72.125	131.491269438771
44978	128.425	72.125	130.052539635287
44979	128.475	72.125	129.34749871329
51468	126.925	72.075	129.727832608399
51500	128.525	72.075	127.907782155563
57989	126.975	72.025	129.970470891908
57990	127.025	72.025	126.088706685822
57991	127.075	72.025	125.138905774567
58020	128.525	72.025	126.562001390763
58021	128.575	72.025	126.724438535564
64511	127.075	71.975	125.032897319691
64512	127.125	71.975	128.031663116499
64513	127.175	71.975	125.566137721677
64514	127.225	71.975	124.814840080261
71034	127.225	71.925	124.814840080261
71035	127.275	71.925	130.387311178264
77555	127.275	71.875	127.813050326973
84074	127.225	71.825	125.131195417271
97114	127.225	71.725	123.065521956804
103634	127.225	71.675	124.435139079467
110155	127.275	71.625	123.929654071179
116675	127.275	71.575	125.69467805502
116676	127.325	71.575	126.949595634351
123196	127.325	71.525	125.445927978702
129716	127.325	71.475	124.254374022372
136236	127.325	71.425	126.559761535628
142755	127.275	71.375	129.080668354762
142756	127.325	71.375	127.772847450125
149275	127.275	71.325	129.662169154253
162316	127.325	71.225	125.012430292006
168836	127.325	71.175	125.833946098341
175357	127.375	71.125	126.797746686741
175358	127.425	71.125	130.205386023465
181878	127.425	71.075	128.137279436319
181879	127.475	71.075	127.443527501604
181880	127.525	71.075	125.128138087517
188400	127.525	71.025	124.863513540793
194920	127.525	70.975	126.411233233203
194921	127.575	70.975	125.700061710281
201439	127.475	70.925	132.299483438161
201440	127.525	70.925	126.240982062982
207959	127.475	70.875	132.526241969685
207960	127.525	70.875	130.209830683735
214480	127.525	70.825	127.904513213827
214481	127.575	70.825	128.36253861643
214482	127.625	70.825	129.153360199729
221000	127.525	70.775	129.834822005975
221001	127.575	70.775	130.581287410178
221002	127.625	70.775	129.48133319598
227517	127.375	70.725	127.595503564499
227518	127.425	70.725	127.815255683273
227519	127.475	70.725	127.325306504158
227520	127.525	70.725	129.834822005975
234034	127.225	70.675	132.759072471046
234035	127.275	70.675	131.771021956032
234036	127.325	70.675	126.534577212266
234037	127.375	70.675	126.927837804266
240553	127.175	70.625	131.330227417099
240554	127.225	70.625	132.673169080114
247071	127.075	70.575	132.552518219979
247072	127.125	70.575	132.653289515313
253568	125.925	70.525	132.38573708086
253569	125.975	70.525	132.531837938497
253570	126.025	70.525	133.448300892899
253572	126.125	70.525	133.893104364148
253573	126.175	70.525	133.249928613853
253574	126.225	70.525	133.237742547537
253575	126.275	70.525	133.893982589087
253576	126.325	70.525	134.023766463227
253577	126.375	70.525	134.30943508347
253578	126.425	70.525	134.395204523289
253579	126.475	70.525	132.774303133076
253580	126.525	70.525	131.39281412008
253582	126.625	70.525	127.146847603537
253583	126.675	70.525	132.129781247592
253584	126.725	70.525	133.416855454448
253585	126.775	70.525	133.152190218826
253586	126.825	70.525	133.620119986887
253587	126.875	70.525	133.543100713729
253588	126.925	70.525	133.45195439184
253589	126.975	70.525	133.433682708247
253590	127.025	70.525	133.43951042173
253591	127.075	70.525	132.552518219979
260086	125.825	70.475	133.552143172903
260087	125.875	70.475	132.520674250129
260088	125.925	70.475	127.140406676222
266605	125.775	70.425	127.803244743836
266606	125.825	70.425	130.715848423411
273125	125.775	70.375	133.475766566399
273126	125.825	70.375	134.242241278228
279646	125.825	70.325	134.256460840455
279647	125.875	70.325	126.512244741333
279648	125.925	70.325	129.931696395044
279649	125.975	70.325	133.302885599641
286169	125.975	70.275	133.302885599641
286170	126.025	70.275	130.531963264424
286171	126.075	70.275	130.986350718036
292690	126.025	70.225	132.070844279382
292691	126.075	70.225	131.180493277581
299209	125.975	70.175	131.73526917924
299210	126.025	70.175	131.879371565565
305728	125.925	70.125	134.033676148014
305729	125.975	70.125	132.330089959941
312246	125.825	70.075	132.270981585263
312247	125.875	70.075	133.65051496479
318763	125.675	70.025	127.057780595883
