ID	lon	lat	centroid_day
5824	126.725	72.425	157.995358921537
5825	126.775	72.425	157.997941565501
5826	126.825	72.425	157.999913484282
5827	126.875	72.425	158.001804973199
5828	126.925	72.425	158.004558452546
5829	126.975	72.425	158.010319590435
5830	127.025	72.425	158.01436547824
5831	127.075	72.425	158.017814782253
5832	127.125	72.425	158.020346975702
5833	127.175	72.425	158.024893612309
5834	127.225	72.425	158.027650260511
5835	127.275	72.425	158.035054356534
5836	127.325	72.425	158.039205428115
5837	127.375	72.425	158.042679856011
5838	127.425	72.425	158.045913446819
5839	127.475	72.425	158.049010040126
5840	127.525	72.425	158.062150421218
5841	127.575	72.425	157.839751642883
5842	127.625	72.425	157.852248919892
5843	127.675	72.425	159.456032996426
12344	126.725	72.375	157.982557882555
12345	126.775	72.375	157.973009598978
12363	127.675	72.375	158.073024204211
12364	127.725	72.375	158.079042187028
12365	127.775	72.375	158.09132986845
12366	127.825	72.375	159.879650831256
18865	126.775	72.325	157.868948941067
18866	126.825	72.325	157.971966473692
18867	126.875	72.325	157.963027726374
18886	127.825	72.325	158.096952285865
18887	127.875	72.325	158.101243290712
18888	127.925	72.325	158.104514480969
18889	127.975	72.325	158.114819790233
25387	126.875	72.275	157.961202492662
25409	127.975	72.275	158.117710037422
25410	128.025	72.275	158.120155308072
25411	128.075	72.275	158.131071833577
31907	126.875	72.225	159.752939493509
31908	126.925	72.225	157.947490829276
31931	128.075	72.225	164.500745462351
31932	128.125	72.225	158.136711298491
31933	128.175	72.225	158.159502642055
31934	128.225	72.225	160.695097181842
31935	128.275	72.225	164.553323956009
38428	126.925	72.175	157.936021097084
38455	128.275	72.175	158.179542730677
38456	128.325	72.175	158.200829397426
38457	128.375	72.175	159.672057922717
38458	128.425	72.175	162.786164552814
44948	126.925	72.125	158.770951805638
44978	128.425	72.125	158.220329565753
44979	128.475	72.125	163.792829566085
44980	128.525	72.125	162.260232506785
51468	126.925	72.075	157.852166030126
51500	128.525	72.075	158.244526515869
57988	126.925	72.025	157.846233833037
57989	126.975	72.025	157.829028265922
57990	127.025	72.025	157.825066657978
57991	127.075	72.025	157.823448358666
58020	128.525	72.025	166.227259350027
58021	128.575	72.025	158.260486473202
64511	127.075	71.975	156.804849674594
64512	127.125	71.975	157.821926146285
64513	127.175	71.975	157.816224688901
64514	127.225	71.975	157.813907622914
71034	127.225	71.925	155.576436090091
71035	127.275	71.925	157.811954477964
77554	127.225	71.875	157.800497190686
77555	127.275	71.875	156.440107536123
84074	127.225	71.825	157.75715320403
90594	127.225	71.775	154.907110648066
97114	127.225	71.725	157.727779791148
103634	127.225	71.675	157.704399625725
103635	127.275	71.675	155.148702640927
110155	127.275	71.625	157.668605817262
116675	127.275	71.575	157.638146520259
116676	127.325	71.575	157.628231890301
123196	127.325	71.525	157.62511891784
129716	127.325	71.475	157.614603149724
136236	127.325	71.425	157.586060867729
142755	127.275	71.375	157.550042826681
142756	127.325	71.375	154.018299427957
149275	127.275	71.325	157.511980662604
155795	127.275	71.275	157.483337334243
155796	127.325	71.275	154.319676399689
162316	127.325	71.225	157.458803107825
168836	127.325	71.175	157.456742959055
168837	127.375	71.175	153.45928150223
175357	127.375	71.125	157.440705235413
175358	127.425	71.125	157.406531257444
181878	127.425	71.075	155.393359993322
181879	127.475	71.075	157.40413867199
181880	127.525	71.075	157.390224809149
188400	127.525	71.025	153.984325847829
188401	127.575	71.025	157.387255151665
194920	127.525	70.975	157.358928783517
194921	127.575	70.975	157.377168912328
201439	127.475	70.925	157.349219323215
201440	127.525	70.925	157.35697151601
207959	127.475	70.875	157.346250607369
207960	127.525	70.875	157.341789405783
214480	127.525	70.825	154.221867303935
214481	127.575	70.825	157.338221685969
214482	127.625	70.825	157.329767838523
221000	127.525	70.775	157.293351003142
221001	127.575	70.775	157.295202242879
221002	127.625	70.775	157.327604612771
227517	127.375	70.725	157.268728263302
227518	127.425	70.725	157.271618627475
227519	127.475	70.725	157.287524243533
227520	127.525	70.725	152.256205933633
234034	127.225	70.675	154.395916455654
234035	127.275	70.675	157.254390123665
234036	127.325	70.675	157.26660688174
234037	127.375	70.675	153.396143654789
240553	127.175	70.625	157.240702458451
240554	127.225	70.625	157.250146592833
247071	127.075	70.575	157.215757082899
247072	127.125	70.575	157.236355736934
247073	127.175	70.575	159.715529830501
253568	125.925	70.525	154.224674977162
253569	125.975	70.525	157.076490160889
253570	126.025	70.525	157.081995835962
253571	126.075	70.525	157.085634128782
253572	126.125	70.525	157.089675407115
253573	126.175	70.525	157.098865430759
253574	126.225	70.525	157.104908736464
253575	126.275	70.525	157.110718184761
253576	126.325	70.525	157.123164480449
253577	126.375	70.525	157.130118072604
253578	126.425	70.525	157.13433536829
253579	126.475	70.525	157.138033631076
253580	126.525	70.525	157.142993771651
253581	126.575	70.525	157.146912702
253582	126.625	70.525	157.150342191759
253583	126.675	70.525	157.154440196999
253584	126.725	70.525	157.161867311172
253585	126.775	70.525	157.168080291414
253586	126.825	70.525	157.182057389593
253587	126.875	70.525	157.187617177521
253588	126.925	70.525	157.192193584769
253589	126.975	70.525	157.196438516098
253590	127.025	70.525	157.200420208132
253591	127.075	70.525	157.212122493723
260086	125.825	70.475	157.060102496197
260087	125.875	70.475	157.063332771771
260088	125.925	70.475	157.073984796864
266605	125.775	70.425	157.049553382755
266606	125.825	70.425	157.05790696073
273125	125.775	70.375	157.047011972832
273126	125.825	70.375	157.037314675094
279646	125.825	70.325	157.03092748395
279647	125.875	70.325	157.018955647422
279648	125.925	70.325	156.993866581498
279649	125.975	70.325	152.378344345808
286169	125.975	70.275	156.987521874783
286170	126.025	70.275	156.974530963054
286171	126.075	70.275	151.687942658265
292690	126.025	70.225	150.265664177477
292691	126.075	70.225	156.97139200285
299209	125.975	70.175	149.901585832656
299210	126.025	70.175	156.948283113723
305728	125.925	70.125	156.877880253591
305729	125.975	70.125	156.916623667808
312246	125.825	70.075	156.840283613219
312247	125.875	70.075	156.870268212191
312248	125.925	70.075	149.190777104501
318763	125.675	70.025	156.825054357618
318764	125.725	70.025	149.85564712789
318765	125.775	70.025	150.364174755064
318766	125.825	70.025	150.110247467241
325281	125.575	69.975	149.520894961345
325282	125.625	69.975	149.498437626662
325283	125.675	69.975	149.483087690158
331792	125.125	69.925	151.408060666885
331793	125.175	69.925	156.692832201895
331794	125.225	69.925	156.700649277342
331795	125.275	69.925	156.727332501523
331796	125.325	69.925	156.737809865223
331797	125.375	69.925	156.753215447393
331798	125.425	69.925	148.58407275172
331799	125.475	69.925	148.657452973558
331800	125.525	69.925	148.864923403614
331801	125.575	69.925	149.452937770588
338311	125.075	69.875	156.665955279167
338312	125.125	69.875	156.686939439893
344831	125.075	69.825	156.665371399447
350548	84.925	69.775	148.510374163244
350549	84.975	69.775	148.499595824006
350550	85.025	69.775	148.496695244418
350551	85.075	69.775	148.492611011311
350552	85.125	69.775	148.488588820934
350553	85.175	69.775	148.484003542263
350554	85.225	69.775	148.44791494826
350555	85.275	69.775	148.443702336974
350556	85.325	69.775	148.436206647854
350557	85.375	69.775	148.433305821222
350558	85.425	69.775	148.426365088685
350559	85.475	69.775	148.422525703842
350560	85.525	69.775	148.419826814322
351351	125.075	69.775	156.647487617125
357064	84.725	69.725	148.540958402142
357065	84.775	69.725	148.52278486232
357066	84.825	69.725	148.519437331082
357067	84.875	69.725	148.514387941319
357068	84.925	69.725	163.405359712321
357080	85.525	69.725	148.417747116247
357081	85.575	69.725	148.410967076921
357082	85.625	69.725	148.406835363728
357870	125.025	69.725	156.600281964116
357871	125.075	69.725	156.620263445007
363581	84.575	69.675	148.554270601604
363582	84.625	69.675	148.547461977502
363583	84.675	69.675	148.545854095042
363584	84.725	69.675	162.605541083025
363602	85.625	69.675	162.989076461354
363603	85.675	69.675	148.404363318376
363604	85.725	69.675	148.397112423706
364389	124.975	69.675	156.565862244925
364390	125.025	69.675	156.590006956559
370100	84.525	69.625	148.557743405085
370101	84.575	69.625	163.7389366777
370124	85.725	69.625	148.395206143646
370125	85.775	69.625	148.380113151057
370908	124.925	69.625	156.560337797172
370909	124.975	69.625	145.95374594169
376645	85.775	69.575	148.367821518766
376646	85.825	69.575	148.377446818283
377427	124.875	69.575	156.606367322447
377428	124.925	69.575	156.620600073794
383166	85.825	69.525	148.364258619546
383167	85.875	69.525	148.351462036263
383168	85.925	69.525	148.343304502925
